"","year","total_saving","sd_saving","total_cost","sd_cost"
"1",2024,745758.75,817128.412292307,4241.25,5373.07669077969
"2",2025,956670,1418719.14571442,3330,3653.45726675433
"3",2026,860908,1370242.0723867,4092,3850.43211860695
"4",2027,963264.5,997205.165526383,1735.5,1670.97351864115
"5",2028,1312972.75,957498.00044863,2027.25,1263.27476227462
"6",2029,1272720,1545321.5554915,2280,2010.77099640909
"7",2030,1217376.5,879981.987075114,2623.5,1667.60606859054
"8",2031,2586352,1618032.18183076,3648,1594.18944921863
"9",2032,2007495.75,1949990.63590275,2504.25,1817.23158265533
"10",2033,1802036,1576294.77332974,2964,1716.3216481767
"11",2034,2640468.5,2475561.01891184,4531.5,2371.71298853803
"12",2035,4664414,2674169.28648963,5586,2308.32406737009
"13",2036,2710945.5,2156648.58603569,4054.5,2398.21339751074
"14",2037,2036238,1585506.0994017,3762,1786.40420957856
"15",2038,4339514.5,2268214.91532034,5485.5,2331.39764947981
"16",2039,3919300,1908274.81657008,5700,2687.00576850888
"17",2040,3813799,1420326.76422794,6201,2011.20859186709
"18",2041,3538844,2250963.26791295,6156,2588.46672762081
"19",2042,4598799,3374662.75688961,6201,2011.20859186709
"20",2043,3714528,1607471.76467893,5472,2067.42351732779
"21",2044,4122845,1557969.1042285,7155,2103.37229229635
"22",2045,3423958,1920355.16665133,6042,3566.74080919822
"23",2046,4003560.5,2314855.02717527,6439.5,3651.81153675816
"24",2047,5153160,1591582.03547428,6840,2632.71722750469
"25",2048,3430349.25,2288461.91601448,4650.75,2722.22209325397
"26",2049,4908274,2944930.54719915,6726,2657.28432803116
"27",2050,4169395.25,3325744.13083633,5604.75,2869.16810678636
"28",2051,3060098,1778121.95910804,4902,2465.61148602127
"29",2052,4578799,1963822.9663922,6201,1465.90756870957
"30",2053,3808730,2683194.77497752,6270,4066.17756621621
"31",2054,3248918.25,2103010.81347145,6081.75,1983.52101703007
