"","simulation_id","total_with","total_without","total_intervention_cost","year","total_difference"
"1",1,0,2200000,16965,2024,2183035
"2",2,0,1e+06,2827.5,2024,997172.5
"3",3,0,750000,5655,2024,744345
"4",4,0,0,0,2024,0
"5",5,0,0,0,2024,0
"6",6,0,1e+06,2827.5,2024,997172.5
"7",7,0,2e+06,8482.5,2024,1991517.5
"8",8,0,0,0,2024,0
"9",9,0,0,0,2024,0
"10",10,0,550000,5655,2024,544345
"11",1,0,0,0,2025,0
"12",2,0,0,0,2025,0
"13",3,0,0,0,2025,0
"14",4,0,1e+05,2775,2025,97225
"15",5,0,2100000,5550,2025,2094450
"16",6,0,0,0,2025,0
"17",7,0,1500000,5550,2025,1494450
"18",8,0,1e+05,2775,2025,97225
"19",9,0,4300000,11100,2025,4288900
"20",10,0,1500000,5550,2025,1494450
"21",1,0,2750000,10230,2026,2739770
"22",2,0,4e+06,7672.5,2026,3992327.5
"23",3,0,1e+05,2557.5,2026,97442.5
"24",4,0,250000,2557.5,2026,247442.5
"25",5,0,0,0,2026,0
"26",6,0,5e+05,2557.5,2026,497442.5
"27",7,0,0,0,2026,0
"28",8,0,250000,2557.5,2026,247442.5
"29",9,0,7e+05,10230,2026,689770
"30",10,0,1e+05,2557.5,2026,97442.5
"31",1,0,0,0,2027,0
"32",2,0,1e+06,1335,2027,998665
"33",3,0,2750000,5340,2027,2744660
"34",4,0,2100000,4005,2027,2095995
"35",5,0,5e+05,1335,2027,498665
"36",6,0,1e+06,1335,2027,998665
"37",7,0,0,0,2027,0
"38",8,0,250000,1335,2027,248665
"39",9,0,50000,1335,2027,48665
"40",10,0,2e+06,1335,2027,1998665
"41",1,0,5e+05,1192.5,2028,498807.5
"42",2,0,2e+06,1192.5,2028,1998807.5
"43",3,0,1e+05,1192.5,2028,98807.5
"44",4,0,2e+06,1192.5,2028,1998807.5
"45",5,0,2500000,2385,2028,2497615
"46",6,0,1e+06,1192.5,2028,998807.5
"47",7,0,1e+05,1192.5,2028,98807.5
"48",8,0,550000,4770,2028,545230
"49",9,0,2350000,3577.5,2028,2346422.5
"50",10,0,2050000,2385,2028,2047615
"51",1,0,4750000,5700,2029,4744300
"52",2,0,0,0,2029,0
"53",3,0,2350000,3420,2029,2346580
"54",4,0,350000,2280,2029,347720
"55",5,0,550000,4560,2029,545440
"56",6,0,5e+05,1140,2029,498860
"57",7,0,0,0,2029,0
"58",8,0,2150000,3420,2029,2146580
"59",9,0,0,0,2029,0
"60",10,0,2100000,2280,2029,2097720
"61",1,0,1e+06,2385,2030,997615
"62",2,0,2e+06,1192.5,2030,1998807.5
"63",3,0,1100000,4770,2030,1095230
"64",4,0,5e+05,1192.5,2030,498807.5
"65",5,0,150000,2385,2030,147615
"66",6,0,2500000,2385,2030,2497615
"67",7,0,250000,1192.5,2030,248807.5
"68",8,0,2100000,5962.5,2030,2094037.5
"69",9,0,2100000,3577.5,2030,2096422.5
"70",10,0,5e+05,1192.5,2030,498807.5
"71",1,0,4350000,5700,2031,4344300
"72",2,0,4e+06,4560,2031,3995440
"73",3,0,4600000,4560,2031,4595440
"74",4,0,50000,1140,2031,48860
"75",5,0,2050000,2280,2031,2047720
"76",6,0,3250000,5700,2031,3244300
"77",7,0,3600000,4560,2031,3595440
"78",8,0,2250000,3420,2031,2246580
"79",9,0,5e+05,2280,2031,497720
